Troy,Brown Jr.,SF,22,CHI,0.333017677,15.98484848,0.516,0.101,4.2,17.4,8.2,1.7,0.4,8.8,12.3,0.353,0.488,0.769
Fred,VanVleet,PG,27,TOR,0.789102564,37.87692308,0.585,0.202,1.8,11.4,26.7,2.3,1.4,12.5,23.7,0.377,0.44,0.874
Luka,Dončić,PG,22,DAL,0.7375,35.4,0.406,0.349,2.7,26,46,1.6,1.4,15.3,37.4,0.353,0.528,0.744
Chris,Paul,PG,36,PHO,0.685576923,32.90769231,0.27,0.274,1.1,12.8,44.5,2.7,0.8,15.6,19.7,0.317,0.559,0.837
D'Angelo,Russell,PG,25,MIN,0.665705128,31.95384615,0.531,0.246,1.3,10.1,33.1,1.4,1,13.2,25.1,0.34,0.492,0.825
Cole,Anthony,PG,21,ORL,0.659935897,31.67692308,0.429,0.277,1.6,16.2,28.9,1.1,0.8,14.2,25.1,0.338,0.432,0.854
P.J.,Washington,PF,23,CHO,0.566666667,27.2,0.566,0.152,4.8,15.5,11.2,1.5,3.3,12.6,15.6,0.365,0.606,0.716
Garrison,Mathews,SG,25,HOU,0.548717949,26.33846154,0.837,0.39,2,10.2,5.3,1.6,1.3,7.1,14.4,0.36,0.6,0.794
Pat,Connaughton,SG,29,MIL,0.541987179,26.01538462,0.746,0.109,2.9,14,6.6,1.7,0.9,6.3,14,0.395,0.643,0.833
Cory,Joseph,PG,30,DET,0.512820513,24.61538462,0.393,0.283,1.9,10.3,21.8,1.3,1,15.9,14.3,0.414,0.465,0.885
Javonte,Green,SF,28,CHI,0.486858974,23.36923077,0.311,0.295,6.8,13.6,5.3,2.2,1.8,7.6,11.5,0.356,0.625,0.833
Facundo,Campazzo,PG,30,DEN,0.379487179,18.21538462,0.652,0.264,2.2,8.6,24.1,2.6,1.8,16.9,14.7,0.301,0.476,0.769
Hassan,Whiteside,C,32,UTA,0.372435897,17.87692308,0,0.506,16.2,29.9,3.4,0.9,7.8,11.6,17.1,,0.652,0.623
Stephen,Curry,PG,33,GSW,0.719726563,34.546875,0.613,0.243,1.7,14.4,30.4,1.9,1,13.2,30.8,0.38,0.527,0.923
Cade,Cunningham,PG,20,DET,0.6796875,32.625,0.352,0.163,2.9,16.2,29.1,1.8,1.9,17.5,27.5,0.314,0.472,0.845
R.J.,Hampton,SG,20,ORL,0.456380208,21.90625,0.4,0.256,1.7,12.9,16.9,1.4,0.8,14.6,18.4,0.35,0.405,0.641
Ben,McLemore,SG,28,POR,0.418294271,20.078125,0.774,0.163,1,8.1,7.3,1.4,0.8,8.7,21.3,0.362,0.533,0.818
Brandon,Clarke,PF,25,MEM,0.405598958,19.46875,0.049,0.291,11.1,17.8,10.3,1.5,4.9,6.3,17.7,0.227,0.666,0.654
Dalano,Banton,PG,22,TOR,0.2265625,10.875,0.252,0.218,5.6,14.1,19.8,2,1.4,19.3,16.9,0.255,0.464,0.591
Kyle,Lowry,PG,35,MIA,0.705357143,33.85714286,0.609,0.278,1.8,13,32.3,1.6,0.8,19.3,18.2,0.377,0.539,0.851
Bogdan,Bogdanović,SG,29,ATL,0.611111111,29.33333333,0.578,0.145,1.7,13,15.5,1.8,0.7,7.7,21.6,0.368,0.516,0.843
Terrence,Ross,SG,30,ORL,0.478835979,22.98412698,0.477,0.235,1.5,10.3,12.5,0.9,0.8,10.9,20.5,0.292,0.493,0.862
Otto,Porter Jr.,PF,28,GSW,0.461640212,22.15873016,0.519,0.147,6.9,21,9.6,2.4,2,7.7,15,0.37,0.565,0.803
Damion,Lee,SG,29,GSW,0.415343915,19.93650794,0.488,0.196,2.4,14.9,7.1,1.5,0.5,8.4,15.8,0.337,0.541,0.88
Lamar,Stevens,PF,24,CLE,0.335648148,16.11111111,0.204,0.235,5.2,12.5,6.5,1.5,1.6,10.4,17.1,0.277,0.543,0.707
Moritz,Wagner,C,24,ORL,0.317460317,15.23809524,0.508,0.326,4.6,21,15.4,1,1.2,11,22.9,0.328,0.672,0.806
Wendell,Carter Jr.,C,22,ORL,0.622311828,29.87096774,0.313,0.303,7.9,29.1,15.4,0.9,2.1,13.1,20.9,0.327,0.615,0.691
Avery,Bradley,SG,31,LAL,0.472446237,22.67741935,0.6,0.051,2.4,8,4.5,1.8,0.6,9.6,12.1,0.39,0.471,0.889
Danny,Green,SF,34,PHI,0.454637097,21.82258065,0.847,0.044,2.7,10.1,6.5,2.2,2.5,12.1,12.3,0.38,0.469,0.786
Ziaire,Williams,SF,20,MEM,0.452284946,21.70967742,0.571,0.13,2,8.2,6.3,1.2,0.8,8.4,14.9,0.314,0.632,0.782
James,Johnson,PF,34,BRK,0.400201613,19.20967742,0.277,0.179,4.8,14.6,14.5,1.2,2.6,12.7,13.7,0.271,0.545,0.527
Jordan,Nwora,SF,23,MIL,0.398185484,19.11290323,0.491,0.093,3.4,16.1,7,1,1.4,10.6,19.4,0.348,0.455,0.837
Jaylen,Nowell,SG,22,MIN,0.327620968,15.72580645,0.387,0.223,2.4,11.4,20.2,1.3,1,7.4,21,0.394,0.526,0.783
Jordan,McLaughlin,PG,25,MIN,0.303091398,14.5483871,0.425,0.2,2.6,8.8,26.1,3,1.1,14.9,11.8,0.318,0.53,0.75
Trey,Murphy III,SF,21,NOP,0.290322581,13.93548387,0.671,0.184,5.9,13.1,6.2,1.3,0.8,5.1,15.7,0.382,0.418,0.882
Kevin,Porter Jr.,PG,21,HOU,0.651297814,31.26229508,0.511,0.239,2.5,13,30.7,1.7,1,17.7,24.1,0.375,0.456,0.642
